symbol,interval,strategy,max_drawdown_pct_full_run
BTCUSDT,240,BB_20_25_EMA50,82.0511
BTCUSDT,240,BB_20_25_MACD,81.8653
BTCUSDT,240,BB_20_25_RSI14,82.3079
BTCUSDT,240,BB_20_25_RSI14_55,82.3079
BTCUSDT,240,BB_20_25_SQ,82.4696
BTCUSDT,240,BB_20_25_VOL12,81.3237
BTCUSDT,240,BB_20_25_breakout,82.3079
BTCUSDT,240,BB_20_25_revert,85.5438
BTCUSDT,240,BB_20_2_ADX20,82.8572
BTCUSDT,240,BB_20_2_EMA100,84.3491
BTCUSDT,240,BB_20_2_EMA200,83.3333
BTCUSDT,240,BB_20_2_EMA50,83.7063
BTCUSDT,240,BB_20_2_MACD,84.1125
BTCUSDT,240,BB_20_2_RSI14,84.6437
BTCUSDT,240,BB_20_2_RSI14_55,84.6437
BTCUSDT,240,BB_20_2_RSI7_50,83.1493
BTCUSDT,240,BB_20_2_SQ,86.558
BTCUSDT,240,BB_20_2_VOL12,81.7637
BTCUSDT,240,BB_20_2_breakout,84.6437
BTCUSDT,240,BB_20_2_mid,82.0387
BTCUSDT,240,BB_20_2_revert,84.3093
BTCUSDT,240,EMA3_13_34_100,84.0523
BTCUSDT,240,EMA3_13_50_200,88.1133
BTCUSDT,240,EMA3_21_50_200,88.2166
BTCUSDT,240,EMA3_8_21_100,85.0337
BTCUSDT,240,EMA3_8_21_50,84.5882
BTCUSDT,240,EMA3_8_34_100,84.5526
BTCUSDT,240,EMA_13_34,81.7258
BTCUSDT,240,EMA_13_34_RSI14_55,84.5089
BTCUSDT,240,EMA_13_34_RSI7_55,88.0012
BTCUSDT,240,EMA_13_34_VOL12,88.6304
BTCUSDT,240,EMA_13_50,82.5175
BTCUSDT,240,EMA_21_100,83.4787
BTCUSDT,240,EMA_21_50,88.1849
BTCUSDT,240,EMA_21_50_RSI14_55,82.273
BTCUSDT,240,EMA_34_100,87.5407
BTCUSDT,240,EMA_50_200,84.402
BTCUSDT,240,EMA_8_21,83.0174
BTCUSDT,240,EMA_8_21_RSI14_55,85.5317
BTCUSDT,240,EMA_8_21_RSI14_60,86.6437
BTCUSDT,240,EMA_8_21_VOL12,83.0904
BTCUSDT,240,EMA_8_21_VOL15,81.9153
BTCUSDT,240,EMA_8_34,87.2425
BTCUSDT,240,EMA_8_34_RSI14_60,87.1182
BTCUSDT,240,EMA_BB_ADX_13_34,86.1451
BTCUSDT,240,EMA_BB_ADX_8_21,83.1048
BTCUSDT,240,MACD_12_26_hist,80.349
BTCUSDT,240,MACD_12_26_sig,80.349
BTCUSDT,240,MACD_8_21_hist,85.5057
BTCUSDT,240,MACD_8_21_sig,85.5057
BTCUSDT,240,MACD_RSI14_50,82.451
BTCUSDT,240,MACD_RSI14_55,85.4802
BTCUSDT,240,MACD_RSI7_50,81.2107
BTCUSDT,240,MACD_RSI7_55,82.5219
BTCUSDT,240,RSI14_6535,81.3929
BTCUSDT,240,RSI14_7030,86.3935
BTCUSDT,240,RSI14_trend50,86.6723
BTCUSDT,240,RSI21_7030,80.6123
BTCUSDT,240,RSI7_6535,84.1065
BTCUSDT,240,RSI7_trend50,81.1051
BTCUSDT,240,STOCH14_EMA13_34,83.2423
BTCUSDT,240,STOCH14_EMA8_21,86.0731
BTCUSDT,240,STOCH14_cross,81.7185
BTCUSDT,240,STOCH5_cross,81.2904
BTCUSDT,240,TS_13_34_100_14,87.3094
BTCUSDT,240,TS_13_34_200_14,86.2946
BTCUSDT,240,TS_8_21_100_14,84.498
BTCUSDT,240,TS_8_21_50_14,81.9622
BTCUSDT,60,ADX14_DI_20,82.8077
BTCUSDT,60,ADX14_DI_25,81.9301
BTCUSDT,60,ADX14_EMA13_34,84.7523
BTCUSDT,60,ADX14_EMA21_50,85.1699
BTCUSDT,60,ADX14_EMA8_21,83.238
BTCUSDT,60,BB_10_2_RSI14,85.1233
BTCUSDT,60,BB_10_2_breakout,81.5619
BTCUSDT,60,BB_20_25_ADX20,82.4126
BTCUSDT,60,BB_20_25_ADX25,84.586
BTCUSDT,60,BB_20_25_EMA100,85.9682
BTCUSDT,60,BB_20_25_EMA200,82.001
BTCUSDT,60,BB_20_25_EMA50,83.891
BTCUSDT,60,BB_20_25_MACD,86.3963
BTCUSDT,60,BB_20_25_RSI14,83.891
BTCUSDT,60,BB_20_25_RSI14_55,83.891
BTCUSDT,60,BB_20_25_SQ,83.8349
BTCUSDT,60,BB_20_25_VOL12,83.7906
BTCUSDT,60,BB_20_25_breakout,83.891
BTCUSDT,60,BB_20_25_revert,81.9368
BTCUSDT,60,BB_20_2_ADX20,81.9082
BTCUSDT,60,BB_20_2_EMA100,83.6636
BTCUSDT,60,BB_20_2_EMA200,85.8817
BTCUSDT,60,BB_20_2_EMA50,84.5907
BTCUSDT,60,BB_20_2_MACD,85.1825
BTCUSDT,60,BB_20_2_RSI14,83.2097
BTCUSDT,60,BB_20_2_RSI14_55,83.2097
BTCUSDT,60,BB_20_2_RSI7_50,83.2097
BTCUSDT,60,BB_20_2_SQ,82.8042
BTCUSDT,60,BB_20_2_VOL12,81.0118
BTCUSDT,60,BB_20_2_breakout,83.2097
BTCUSDT,60,BB_20_2_mid,80.6732
BTCUSDT,60,BB_20_2_revert,84.1603
BTCUSDT,60,EMA3_13_34_100,87.2622
BTCUSDT,60,EMA3_13_50_200,86.1005
BTCUSDT,60,EMA3_21_50_200,86.6604
BTCUSDT,60,EMA3_8_21_100,87.8436
BTCUSDT,60,EMA3_8_21_50,83.7174
BTCUSDT,60,EMA3_8_34_100,83.3003
BTCUSDT,60,EMA_13_34,83.4078
BTCUSDT,60,EMA_13_34_RSI14_55,81.9156
BTCUSDT,60,EMA_13_34_RSI7_55,84.1651
BTCUSDT,60,EMA_13_34_VOL12,86.4749
BTCUSDT,60,EMA_13_50,84.0548
BTCUSDT,60,EMA_21_100,84.1537
BTCUSDT,60,EMA_21_50,82.9431
BTCUSDT,60,EMA_21_50_RSI14_55,86.1776
BTCUSDT,60,EMA_34_100,88.3062
BTCUSDT,60,EMA_50_200,88.5041
BTCUSDT,60,EMA_8_21,87.2556
BTCUSDT,60,EMA_8_21_RSI14_55,82.6337
BTCUSDT,60,EMA_8_21_RSI14_60,82.1959
BTCUSDT,60,EMA_8_21_VOL12,85.0147
BTCUSDT,60,EMA_8_21_VOL15,85.4326
BTCUSDT,60,EMA_8_34,85.8606
BTCUSDT,60,EMA_8_34_RSI14_60,82.3431
BTCUSDT,60,EMA_BB_ADX_13_34,82.8717
BTCUSDT,60,EMA_BB_ADX_8_21,85.1357
BTCUSDT,60,MACD_12_26_hist,83.2617
BTCUSDT,60,MACD_12_26_sig,83.2617
BTCUSDT,60,MACD_8_21_hist,81.8832
BTCUSDT,60,MACD_8_21_sig,81.8832
BTCUSDT,60,MACD_RSI14_50,84.3779
BTCUSDT,60,MACD_RSI14_55,81.6361
BTCUSDT,60,MACD_RSI7_50,84.2867
BTCUSDT,60,MACD_RSI7_55,84.081
BTCUSDT,60,RSI14_6535,84.6839
BTCUSDT,60,RSI14_7030,88.0929
BTCUSDT,60,RSI14_trend50,82.8522
BTCUSDT,60,RSI21_7030,85.3109
BTCUSDT,60,RSI7_6535,81.5576
BTCUSDT,60,RSI7_trend50,81.7319
BTCUSDT,60,STOCH14_EMA13_34,86.1014
BTCUSDT,60,STOCH14_EMA8_21,84.8709
BTCUSDT,60,STOCH14_cross,82.5773
BTCUSDT,60,STOCH5_cross,81.1858
BTCUSDT,60,TS_13_34_100_14,85.261
BTCUSDT,60,TS_13_34_200_14,86.6106
BTCUSDT,60,TS_8_21_100_14,85.2177
BTCUSDT,60,TS_8_21_50_14,82.4386
XRPUSDT,240,ADX14_DI_20,82.19
XRPUSDT,240,ADX14_DI_25,84.4921
XRPUSDT,240,ADX14_EMA13_34,83.397
XRPUSDT,240,ADX14_EMA21_50,84.9876
XRPUSDT,240,ADX14_EMA8_21,83.7961
XRPUSDT,240,BB_10_2_RSI14,86.3716
XRPUSDT,240,BB_10_2_breakout,84.8559
