symbol,interval,strategy,activate_pct,trail_pct,no_trail,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
XRPUSDT,240,EMA3_13_50_200,10.0,,True,0.03,0,one_shot,35,300.016927,307.581806,7.564879,13.64,22,3,19,362.004311,-61.987383,120.668104,-3.262494,2.6325,84.55,18,0,3,1,20.4695,800.016927,True,0.09
XRPUSDT,240,EMA3_21_50_200,10.0,,True,0.03,0,one_shot,34,303.821275,311.060935,7.239661,14.29,21,3,18,362.484158,-58.662883,120.828053,-3.259049,2.6264,87.81,17,0,3,1,20.4695,803.821275,True,0.09
XRPUSDT,240,EMA3_8_21_100,10.0,,True,0.03,0,one_shot,79,-76.909749,-59.888399,17.021351,5.66,53,3,50,81.113522,-158.023271,27.037841,-3.160465,10.4657,32.21,45,0,7,1,23.4796,423.090251,True,0.09
XRPUSDT,240,EMA3_8_21_50,10.0,,True,0.03,0,one_shot,87,210.440432,231.354019,20.913587,9.38,64,6,58,370.47839,-160.037958,61.746398,-2.759275,4.2776,29.72,43,0,20,1,19.2193,710.440432,True,0.11
XRPUSDT,240,EMA3_8_34_100,10.0,,True,0.03,0,one_shot,64,152.090301,169.11648,17.026179,5.77,52,3,49,312.387916,-160.297615,104.129305,-3.27138,3.046,29.37,47,0,4,1,23.1605,652.090301,True,0.09
XRPUSDT,240,EMA_13_34,10.0,,True,0.03,0,one_shot,75,212.75255,237.200278,24.447728,18.67,75,14,61,373.997961,-161.24541,26.71414,-2.643367,9.0041,23.52,40,0,35,0,18.098,712.75255,True,0.09
XRPUSDT,240,EMA_13_34_RSI14_55,10.0,,True,0.03,0,one_shot,207,230.049156,257.371816,27.32266,20.24,84,17,67,418.186985,-188.137829,24.599234,-2.808027,10.2456,24.44,52,0,31,1,18.2585,730.049156,True,0.1
XRPUSDT,240,EMA_13_34_RSI7_55,10.0,,True,0.03,0,one_shot,265,203.675438,233.543769,29.868331,18.48,92,17,75,408.544397,-204.868959,24.032023,-2.731586,10.2063,22.83,53,0,38,1,20.7805,703.675438,True,0.1
XRPUSDT,240,EMA_13_34_VOL12,10.0,,True,0.03,0,one_shot,326,215.171524,241.847558,26.676034,19.51,82,16,66,408.097294,-192.92577,25.506081,-2.923118,10.2821,25.33,53,0,28,1,19.0507,715.171524,True,0.08
XRPUSDT,240,EMA_13_50,10.0,,True,0.03,0,one_shot,55,248.066336,266.055408,17.989072,23.64,55,13,42,362.788973,-114.722636,27.906844,-2.731491,8.9153,32.07,31,0,23,1,20.3327,748.066336,True,0.09
XRPUSDT,240,EMA_21_100,10.0,,True,0.03,0,one_shot,37,-82.464065,-70.641255,11.822809,5.41,37,2,35,23.934631,-106.398695,11.967315,-3.039963,20.2566,29.51,29,0,7,1,20.5973,417.535935,True,0.09
XRPUSDT,240,EMA_21_50,10.0,,True,0.03,0,one_shot,53,244.036474,261.451947,17.415474,11.32,53,6,47,370.47839,-126.441917,61.746398,-2.690254,4.175,32.26,33,0,19,1,17.6432,744.036474,True,0.09
XRPUSDT,240,EMA_21_50_RSI14_55,10.0,,True,0.03,0,one_shot,186,204.905548,226.495079,21.589531,10.61,66,7,59,382.588358,-177.68281,54.65548,-3.011573,5.2223,30.62,51,0,14,1,23.6465,704.905548,True,0.09
XRPUSDT,240,EMA_34_100,10.0,,True,0.03,0,one_shot,37,205.83727,218.076252,12.238982,8.11,37,3,34,312.387916,-106.550646,104.129305,-3.133843,2.9216,30.95,30,0,6,1,19.134,705.83727,True,0.09
XRPUSDT,240,EMA_50_200,10.0,,True,0.03,0,one_shot,15,303.541131,308.873073,5.331942,13.33,15,2,13,345.590514,-42.049383,172.795257,-3.234568,1.8375,98.93,12,0,3,0,20.1192,803.541131,True,0.1
XRPUSDT,240,EMA_8_21_RSI14_55,10.0,,True,0.03,0,one_shot,236,159.695834,195.148731,35.452897,27.27,110,30,80,381.793526,-222.097691,12.726451,-2.776221,17.908,18.3,58,0,51,1,12.3906,659.695834,True,0.1
XRPUSDT,240,EMA_8_21_RSI14_60,10.0,,True,0.03,0,one_shot,212,290.335051,322.455705,32.120654,25.25,99,25,74,495.261775,-204.926724,19.810471,-2.76928,12.2644,20.4,54,0,44,1,17.4804,790.335051,True,0.09
XRPUSDT,240,EMA_8_21_VOL12,10.0,,True,0.03,0,one_shot,322,268.912102,298.163489,29.251387,24.44,90,22,68,459.588516,-190.676414,20.890387,-2.804065,11.8343,22.91,48,0,41,1,17.0155,768.912102,True,0.09
XRPUSDT,240,EMA_8_21_VOL15,10.0,,True,0.03,0,one_shot,252,224.97968,251.050575,26.070895,20.0,80,16,64,415.551458,-190.571778,25.971966,-2.977684,10.2857,24.85,53,0,26,1,20.0265,724.97968,True,0.11
XRPUSDT,240,EMA_8_34,10.0,,True,0.03,0,one_shot,91,227.267885,256.84335,29.575464,18.68,91,17,74,418.418544,-191.150659,24.612856,-2.583117,9.4982,20.9,43,0,48,0,18.8475,727.267885,True,0.11
XRPUSDT,240,EMA_8_34_RSI14_60,10.0,,True,0.03,0,one_shot,195,252.43207,281.047607,28.615537,20.45,88,18,70,453.790901,-201.358831,25.210606,-2.876555,10.2415,23.53,54,0,33,1,18.2566,752.43207,True,0.11
XRPUSDT,240,EMA_BB_ADX_13_34,10.0,,True,0.03,0,one_shot,91,237.72919,258.060827,20.331636,19.35,62,12,50,378.829669,-141.100479,31.569139,-2.82201,8.2056,26.13,39,0,22,1,17.5314,737.72919,True,0.08
XRPUSDT,240,EMA_BB_ADX_8_21,10.0,,True,0.03,0,one_shot,84,237.527373,258.157897,20.630524,23.81,63,15,48,386.084483,-148.55711,25.738966,-3.09494,10.7337,25.59,42,0,20,1,19.062,737.527373,True,0.09
XRPUSDT,240,MACD_12_26_sig,10.0,,True,0.03,0,one_shot,190,-2.176046,58.767329,60.943375,22.63,190,43,147,362.139988,-364.316033,8.42186,-2.47834,22.7366,9.16,79,0,110,1,25.3143,497.823954,True,0.1
XRPUSDT,240,MACD_8_21_hist,10.0,,True,0.03,0,one_shot,294,-38.443729,55.749866,94.193594,27.21,294,80,214,389.458022,-427.901751,4.868225,-1.999541,29.1149,6.27,74,0,219,1,23.8182,461.556271,True,0.09
XRPUSDT,240,MACD_8_21_sig,10.0,,True,0.03,0,one_shot,294,-38.443729,55.749866,94.193594,27.21,294,80,214,389.458022,-427.901751,4.868225,-1.999541,29.1149,6.27,74,0,219,1,23.8182,461.556271,True,0.16
XRPUSDT,240,MACD_RSI14_50,10.0,,True,0.03,0,one_shot,263,73.865618,126.910342,53.044723,26.06,165,43,122,395.728349,-321.862731,9.202985,-2.638219,22.28,11.9,80,0,85,0,12.8063,573.865618,True,0.14
XRPUSDT,240,MACD_RSI14_55,10.0,,True,0.03,0,one_shot,251,37.036875,91.98054,54.943664,24.56,171,42,129,384.461573,-347.424697,9.153847,-2.693215,22.7332,11.32,86,0,85,0,18.3405,537.036875,True,0.09
