symbol,interval,strategy,max_sl_pct,net_pnl,win_rate,n_trades,max_drawdown_pct,final_equity,survived
XRPUSDT,240,RSI14_7030,0.08,-404.900241,31.01,158,81.0998,95.099759,False
XRPUSDT,240,RSI14_7030,0.12,-374.748179,34.53,139,75.3494,125.251821,True
XRPUSDT,240,MACD_12_26_hist,0.03,-400.747198,25.32,308,80.1494,99.252802,False
XRPUSDT,240,MACD_12_26_hist,0.05,-401.149014,26.22,267,80.2298,98.850986,False
XRPUSDT,240,MACD_12_26_hist,0.08,-400.670349,27.56,254,80.1341,99.329651,False
XRPUSDT,240,MACD_12_26_hist,0.12,-400.988024,26.46,257,80.1976,99.011976,False
XRPUSDT,240,MACD_RSI14_50,0.03,-400.399971,25.64,351,80.0891,99.600029,False
XRPUSDT,240,MACD_RSI14_50,0.05,-403.731232,26.82,302,80.755,96.268768,False
XRPUSDT,240,MACD_RSI14_50,0.08,-406.863998,28.52,284,81.3813,93.136002,False
XRPUSDT,240,MACD_RSI14_50,0.12,-401.316633,28.27,283,80.2723,98.683367,False
XRPUSDT,240,BB_20_25_breakout,0.03,-121.522803,18.68,91,25.1817,378.477197,True
XRPUSDT,240,BB_20_25_breakout,0.05,-144.405923,25.56,90,29.7132,355.594077,True
XRPUSDT,240,BB_20_25_breakout,0.08,-184.706472,27.78,90,37.6939,315.293528,True
XRPUSDT,240,BB_20_25_breakout,0.12,-226.857495,28.09,89,46.041,273.142505,True
XRPUSDT,240,BB_20_2_RSI14,0.03,-232.127262,18.89,180,46.5579,267.872738,True
XRPUSDT,240,BB_20_2_RSI14,0.05,-272.775168,22.99,174,54.6874,227.224832,True
XRPUSDT,240,BB_20_2_RSI14,0.08,-308.466924,25.88,170,61.8258,191.533076,True
XRPUSDT,240,BB_20_2_RSI14,0.12,-343.293458,26.47,170,70.4873,156.706542,True
XRPUSDT,240,ADX14_DI_20,0.03,-400.714233,24.77,323,80.2194,99.285767,False
XRPUSDT,240,ADX14_DI_20,0.05,-400.653391,26.12,268,80.2106,99.346609,False
XRPUSDT,240,ADX14_DI_20,0.08,-400.540885,26.77,254,80.1849,99.459115,False
XRPUSDT,240,ADX14_DI_20,0.12,-400.320371,26.17,256,80.141,99.679629,False
XRPUSDT,240,STOCH14_cross,0.03,-400.418232,22.2,509,80.1279,99.581768,False
XRPUSDT,240,STOCH14_cross,0.05,-401.717869,22.31,493,80.3873,98.282131,False
XRPUSDT,240,STOCH14_cross,0.08,-402.435677,22.31,493,80.5305,97.564323,False
XRPUSDT,240,STOCH14_cross,0.12,-400.970086,22.31,493,80.2381,99.029914,False
XRPUSDT,240,TS_13_34_200_14,0.03,-402.333832,24.67,300,80.5197,97.666168,False
XRPUSDT,240,TS_13_34_200_14,0.05,-401.970063,27.98,243,80.4471,98.029937,False
XRPUSDT,240,TS_13_34_200_14,0.08,-402.117553,31.58,209,80.4766,97.882447,False
XRPUSDT,240,TS_13_34_200_14,0.12,-400.103364,32.28,189,81.2394,99.896636,False
XRPUSDT,60,EMA_8_21,0.03,-402.424903,28.0,425,80.6728,97.575097,False
XRPUSDT,60,EMA_8_21,0.05,-400.855063,29.55,396,80.3618,99.144937,False
XRPUSDT,60,EMA_8_21,0.08,-401.849489,27.78,396,80.5588,98.150511,False
